Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_CHINA_PC,Chrome 59.0.3071.109,,2017-06-26 11:12:45,2017-06-26 11:13:35,50.037s,FAILED
,,,,,,
Test Cases/SCENARIO_TEST/CHINA/PC/TC_pc_01,Chrome 59.0.3071.109,,2017-06-26 11:12:46,2017-06-26 11:13:35,49.601s,FAILED
openBrowser,Chrome 59.0.3071.109,,2017-06-26 11:12:46,2017-06-26 11:12:50,3.661s,PASSED
maximizeWindow,Chrome 59.0.3071.109,,2017-06-26 11:12:50,2017-06-26 11:12:51,1.246s,PASSED
navigateToUrl,Chrome 59.0.3071.109,,2017-06-26 11:12:51,2017-06-26 11:12:57,5.216s,PASSED
click,Chrome 59.0.3071.109,,2017-06-26 11:12:57,2017-06-26 11:12:59,2.841s,PASSED
click,Chrome 59.0.3071.109,,2017-06-26 11:12:59,2017-06-26 11:13:01,1.354s,PASSED
click,Chrome 59.0.3071.109,,2017-06-26 11:13:01,2017-06-26 11:13:02,1.081s,PASSED
click,Chrome 59.0.3071.109,,2017-06-26 11:13:02,2017-06-26 11:13:03,1.112s,PASSED
click,Chrome 59.0.3071.109,,2017-06-26 11:13:03,2017-06-26 11:13:03,0.159s,PASSED
switchToWindowTitle,Chrome 59.0.3071.109,,2017-06-26 11:13:03,2017-06-26 11:13:03,0.101s,PASSED
click,Chrome 59.0.3071.109,,2017-06-26 11:13:03,2017-06-26 11:13:35,32.167s,FAILED
