Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_China_Mobile,Chrome 59.0.3071.115,,2017-06-28 11:43:00,2017-06-28 11:43:15,14.936s,FAILED
,,,,,,
Test Cases/SCENARIO_TEST/CHINA/Mobile/TC_mobile_01,Chrome 59.0.3071.115,,2017-06-28 11:43:00,2017-06-28 11:43:15,14.565s,FAILED
openBrowser,Chrome 59.0.3071.115,,2017-06-28 11:43:01,2017-06-28 11:43:05,3.537s,PASSED
setViewPortSize,Chrome 59.0.3071.115,iPhone 6 diplay size,2017-06-28 11:43:05,2017-06-28 11:43:06,1.209s,PASSED
navigateToUrl,Chrome 59.0.3071.115,navigate to www.samsung.com/cn,2017-06-28 11:43:06,2017-06-28 11:43:09,3.268s,PASSED
click,Chrome 59.0.3071.115,hit the menu button,2017-06-28 11:43:09,2017-06-28 11:43:09,0.286s,PASSED
click,Chrome 59.0.3071.115,,2017-06-28 11:43:09,2017-06-28 11:43:10,0.247s,PASSED
click,Chrome 59.0.3071.115,,2017-06-28 11:43:10,2017-06-28 11:43:14,4.346s,PASSED
click,Chrome 59.0.3071.115,,2017-06-28 11:43:14,2017-06-28 11:43:14,0.141s,PASSED
click,Chrome 59.0.3071.115,,2017-06-28 11:43:14,2017-06-28 11:43:15,0.846s,FAILED
