Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TSC_UK_PC,Chrome 59.0.3071.109,,2017-06-23 18:03:52,2017-06-23 18:04:36,43.352s,FAILED
,,,,,,
Test Cases/SCENARIO_TEST/UNITED_KINGDOM/PC/TC_pc_01,Chrome 59.0.3071.109,,2017-06-23 18:03:53,2017-06-23 18:04:36,42.981s,FAILED
openBrowser,Chrome 59.0.3071.109,,2017-06-23 18:03:53,2017-06-23 18:03:56,3.342s,PASSED
navigateToUrl,Chrome 59.0.3071.109,,2017-06-23 18:03:56,2017-06-23 18:04:28,32.060s,PASSED
click,Chrome 59.0.3071.109,,2017-06-23 18:04:28,2017-06-23 18:04:29,0.322s,PASSED
setText,Chrome 59.0.3071.109,,2017-06-23 18:04:29,2017-06-23 18:04:29,0.286s,PASSED
click,Chrome 59.0.3071.109,,2017-06-23 18:04:29,2017-06-23 18:04:29,0.127s,PASSED
setText,Chrome 59.0.3071.109,,2017-06-23 18:04:29,2017-06-23 18:04:29,0.209s,PASSED
click,Chrome 59.0.3071.109,,2017-06-23 18:04:29,2017-06-23 18:04:35,5.754s,PASSED
setText,Chrome 59.0.3071.109,,2017-06-23 18:04:35,2017-06-23 18:04:36,0.369s,FAILED
