Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TSC_UK_PC,Chrome 59.0.3071.109,,2017-06-23 18:05:33,2017-06-23 18:06:04,30.321s,FAILED
,,,,,,
Test Cases/SCENARIO_TEST/UNITED_KINGDOM/PC/TC_pc_01,Chrome 59.0.3071.109,,2017-06-23 18:05:34,2017-06-23 18:06:04,29.930s,FAILED
openBrowser,Chrome 59.0.3071.109,,2017-06-23 18:05:34,2017-06-23 18:05:38,3.209s,PASSED
navigateToUrl,Chrome 59.0.3071.109,,2017-06-23 18:05:38,2017-06-23 18:05:55,17.439s,PASSED
click,Chrome 59.0.3071.109,,2017-06-23 18:05:55,2017-06-23 18:05:55,0.169s,PASSED
setText,Chrome 59.0.3071.109,,2017-06-23 18:05:55,2017-06-23 18:05:56,0.322s,PASSED
click,Chrome 59.0.3071.109,,2017-06-23 18:05:56,2017-06-23 18:05:56,0.128s,PASSED
setText,Chrome 59.0.3071.109,,2017-06-23 18:05:56,2017-06-23 18:05:56,0.196s,PASSED
click,Chrome 59.0.3071.109,,2017-06-23 18:05:56,2017-06-23 18:06:03,7.545s,PASSED
setText,Chrome 59.0.3071.109,,2017-06-23 18:06:03,2017-06-23 18:06:04,0.358s,FAILED
