Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_CHINA_PC,Chrome 59.0.3071.109,,2017-06-26 10:59:55,2017-06-26 11:00:38,43.353s,FAILED
,,,,,,
Test Cases/SCENARIO_TEST/CHINA/PC/TC_pc_01,Chrome 59.0.3071.109,,2017-06-26 10:59:55,2017-06-26 11:00:38,42.938s,FAILED
openBrowser,Chrome 59.0.3071.109,,2017-06-26 10:59:56,2017-06-26 11:00:00,3.499s,PASSED
maximizeWindow,Chrome 59.0.3071.109,,2017-06-26 11:00:00,2017-06-26 11:00:01,1.193s,PASSED
navigateToUrl,Chrome 59.0.3071.109,,2017-06-26 11:00:01,2017-06-26 11:00:07,5.870s,PASSED
click,Chrome 59.0.3071.109,,2017-06-26 11:00:07,2017-06-26 11:00:38,31.844s,FAILED
