Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
China_Mobile,Chrome 59.0.3071.115,,2017-06-27 16:31:27,2017-06-27 16:32:06,39.196s,FAILED
,,,,,,
Test Cases/SCENARIO_TEST/CHINA/Mobile/TC_mobile_01,Chrome 59.0.3071.115,,2017-06-27 16:31:27,2017-06-27 16:32:06,38.788s,FAILED
openBrowser,Chrome 59.0.3071.115,,2017-06-27 16:31:28,2017-06-27 16:31:32,3.408s,PASSED
setViewPortSize,Chrome 59.0.3071.115,iPhone 6 diplay size,2017-06-27 16:31:32,2017-06-27 16:31:33,1.213s,PASSED
navigateToUrl,Chrome 59.0.3071.115,,2017-06-27 16:31:33,2017-06-27 16:31:35,1.933s,PASSED
click,Chrome 59.0.3071.115,,2017-06-27 16:31:35,2017-06-27 16:31:35,0.275s,PASSED
click,Chrome 59.0.3071.115,,2017-06-27 16:31:35,2017-06-27 16:31:35,0.195s,PASSED
click,Chrome 59.0.3071.115,,2017-06-27 16:31:35,2017-06-27 16:32:06,31.142s,FAILED
