Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_China_Mobile,Chrome 59.0.3071.115,,2017-06-27 17:29:42,2017-06-27 17:30:30,48.410s,FAILED
,,,,,,
Test Cases/SCENARIO_TEST/CHINA/Mobile/TC_mobile_01,Chrome 59.0.3071.115,,2017-06-27 17:29:42,2017-06-27 17:30:30,47.986s,FAILED
openBrowser,Chrome 59.0.3071.115,,2017-06-27 17:29:43,2017-06-27 17:29:46,3.638s,PASSED
setViewPortSize,Chrome 59.0.3071.115,iPhone 6 diplay size,2017-06-27 17:29:46,2017-06-27 17:29:48,1.208s,PASSED
navigateToUrl,Chrome 59.0.3071.115,navigate to www.samsung.com/cn,2017-06-27 17:29:48,2017-06-27 17:29:51,3.299s,PASSED
click,Chrome 59.0.3071.115,hit the menu button,2017-06-27 17:29:51,2017-06-27 17:29:51,0.228s,PASSED
click,Chrome 59.0.3071.115,,2017-06-27 17:29:51,2017-06-27 17:29:51,0.295s,PASSED
click,Chrome 59.0.3071.115,,2017-06-27 17:29:51,2017-06-27 17:29:57,5.732s,PASSED
click,Chrome 59.0.3071.115,,2017-06-27 17:29:57,2017-06-27 17:29:57,0.231s,PASSED
click,Chrome 59.0.3071.115,,2017-06-27 17:29:57,2017-06-27 17:29:58,0.714s,PASSED
click,Chrome 59.0.3071.115,,2017-06-27 17:29:58,2017-06-27 17:30:30,31.906s,FAILED
