Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TSC_UK_PC,Chrome 59.0.3071.109,,2017-06-23 18:24:00,2017-06-23 18:25:00,1m - 0.460s,FAILED
,,,,,,
Test Cases/SCENARIO_TEST/UNITED_KINGDOM/PC/TC_pc_01,Chrome 59.0.3071.109,,2017-06-23 18:24:00,2017-06-23 18:25:00,1m - 0.083s,FAILED
openBrowser,Chrome 59.0.3071.109,open browser,2017-06-23 18:24:00,2017-06-23 18:24:04,3.205s,PASSED
navigateToUrl,Chrome 59.0.3071.109,"go to \""https://shop.samsung.com/uk/\""",2017-06-23 18:24:04,2017-06-23 18:24:23,19.625s,PASSED
click,Chrome 59.0.3071.109,hit a 'sign in' button,2017-06-23 18:24:23,2017-06-23 18:24:23,0.181s,PASSED
setText,Chrome 59.0.3071.109,enter your 'WRONG' account,2017-06-23 18:24:23,2017-06-23 18:24:24,0.327s,PASSED
click,Chrome 59.0.3071.109,,2017-06-23 18:24:24,2017-06-23 18:24:24,0.137s,PASSED
setText,Chrome 59.0.3071.109,enter your password,2017-06-23 18:24:24,2017-06-23 18:24:24,0.174s,PASSED
click,Chrome 59.0.3071.109,hit the 'sign in' button,2017-06-23 18:24:24,2017-06-23 18:24:29,4.960s,PASSED
setText,Chrome 59.0.3071.109,enter your 'RIGHT' account,2017-06-23 18:24:29,2017-06-23 18:25:00,30.983s,FAILED
