Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TSC_UK_PC_2,Chrome 59.0.3071.109,,2017-06-23 17:32:56,2017-06-23 17:33:55,59.035s,FAILED
,,,,,,
Test Cases/SCENARIO_TEST/UNITED_KINGDOM/PC/TC_pc_02,Chrome 59.0.3071.109,,2017-06-23 17:32:56,2017-06-23 17:33:55,58.723s,FAILED
openBrowser,Chrome 59.0.3071.109,,2017-06-23 17:32:56,2017-06-23 17:33:00,3.437s,PASSED
navigateToUrl,Chrome 59.0.3071.109,,2017-06-23 17:33:00,2017-06-23 17:33:09,8.856s,PASSED
click,Chrome 59.0.3071.109,,2017-06-23 17:33:09,2017-06-23 17:33:23,13.861s,PASSED
click,Chrome 59.0.3071.109,,2017-06-23 17:33:23,2017-06-23 17:33:55,32.030s,FAILED
