Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TSC_UK_PC,Chrome 59.0.3071.109,,2017-06-26 10:13:24,2017-06-26 10:14:23,59.448s,FAILED
,,,,,,
Test Cases/SCENARIO_TEST/UNITED_KINGDOM/PC/TC_pc_01,Chrome 59.0.3071.109,,2017-06-26 10:13:24,2017-06-26 10:14:23,59.024s,FAILED
openBrowser,Chrome 59.0.3071.109,open browser,2017-06-26 10:13:24,2017-06-26 10:13:28,3.508s,PASSED
maximizeWindow,Chrome 59.0.3071.109,,2017-06-26 10:13:28,2017-06-26 10:13:29,1.198s,PASSED
navigateToUrl,Chrome 59.0.3071.109,"go to \""https://shop.samsung.com/uk/\""",2017-06-26 10:13:29,2017-06-26 10:13:46,16.629s,PASSED
click,Chrome 59.0.3071.109,hit a 'sign in' button,2017-06-26 10:13:46,2017-06-26 10:13:46,0.189s,PASSED
setText,Chrome 59.0.3071.109,enter your 'WRONG' account,2017-06-26 10:13:46,2017-06-26 10:13:46,0.338s,PASSED
click,Chrome 59.0.3071.109,,2017-06-26 10:13:46,2017-06-26 10:13:46,0.125s,PASSED
setText,Chrome 59.0.3071.109,enter your password,2017-06-26 10:13:46,2017-06-26 10:13:47,0.200s,PASSED
click,Chrome 59.0.3071.109,hit the 'sign in' button,2017-06-26 10:13:47,2017-06-26 10:13:52,5.271s,PASSED
setText,Chrome 59.0.3071.109,enter your 'RIGHT' account,2017-06-26 10:13:52,2017-06-26 10:14:23,31.058s,FAILED
