Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TSC_UK_PC_2,Chrome 59.0.3071.109,,2017-06-23 17:20:44,2017-06-23 17:21:39,55.765s,FAILED
,,,,,,
Test Cases/SCENARIO_TEST/UNITED_KINGDOM/PC/TC_pc_02,Chrome 59.0.3071.109,,2017-06-23 17:20:44,2017-06-23 17:21:39,55.279s,FAILED
openBrowser,Chrome 59.0.3071.109,,2017-06-23 17:20:45,2017-06-23 17:20:49,3.860s,PASSED
navigateToUrl,Chrome 59.0.3071.109,,2017-06-23 17:20:49,2017-06-23 17:21:08,18.975s,PASSED
click,Chrome 59.0.3071.109,,2017-06-23 17:21:08,2017-06-23 17:21:08,0.200s,PASSED
click,Chrome 59.0.3071.109,,2017-06-23 17:21:08,2017-06-23 17:21:39,31.544s,FAILED
