Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TSC_UK_PC,Chrome 59.0.3071.109,,2017-06-23 18:39:14,2017-06-23 18:40:14,59.836s,FAILED
,,,,,,
Test Cases/SCENARIO_TEST/UNITED_KINGDOM/PC/TC_pc_01,Chrome 59.0.3071.109,,2017-06-23 18:39:14,2017-06-23 18:40:14,59.477s,FAILED
openBrowser,Chrome 59.0.3071.109,open browser,2017-06-23 18:39:15,2017-06-23 18:39:18,3.203s,PASSED
maximizeWindow,Chrome 59.0.3071.109,,2017-06-23 18:39:18,2017-06-23 18:39:19,1.183s,PASSED
navigateToUrl,Chrome 59.0.3071.109,"go to \""https://shop.samsung.com/uk/\""",2017-06-23 18:39:19,2017-06-23 18:39:37,17.845s,PASSED
click,Chrome 59.0.3071.109,hit a 'sign in' button,2017-06-23 18:39:37,2017-06-23 18:39:37,0.249s,PASSED
setText,Chrome 59.0.3071.109,enter your 'WRONG' account,2017-06-23 18:39:37,2017-06-23 18:39:38,0.319s,PASSED
click,Chrome 59.0.3071.109,,2017-06-23 18:39:38,2017-06-23 18:39:38,0.147s,PASSED
setText,Chrome 59.0.3071.109,enter your password,2017-06-23 18:39:38,2017-06-23 18:39:38,0.177s,PASSED
click,Chrome 59.0.3071.109,hit the 'sign in' button,2017-06-23 18:39:38,2017-06-23 18:39:43,4.889s,PASSED
setText,Chrome 59.0.3071.109,enter your 'RIGHT' account,2017-06-23 18:39:43,2017-06-23 18:40:14,30.913s,FAILED
