Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_China_Mobile,Chrome 59.0.3071.115,,2017-06-27 19:49:57,2017-06-27 19:50:11,14.013s,FAILED
,,,,,,
Test Cases/SCENARIO_TEST/CHINA/Mobile/TC_mobile_01,Chrome 59.0.3071.115,,2017-06-27 19:49:57,2017-06-27 19:50:11,13.660s,FAILED
openBrowser,Chrome 59.0.3071.115,,2017-06-27 19:49:58,2017-06-27 19:50:01,3.328s,PASSED
setViewPortSize,Chrome 59.0.3071.115,iPhone 6 diplay size,2017-06-27 19:50:01,2017-06-27 19:50:03,1.217s,PASSED
navigateToUrl,Chrome 59.0.3071.115,navigate to www.samsung.com/cn,2017-06-27 19:50:03,2017-06-27 19:50:05,2.761s,PASSED
click,Chrome 59.0.3071.115,hit the menu button,2017-06-27 19:50:05,2017-06-27 19:50:06,0.347s,PASSED
click,Chrome 59.0.3071.115,,2017-06-27 19:50:06,2017-06-27 19:50:06,0.196s,PASSED
click,Chrome 59.0.3071.115,,2017-06-27 19:50:06,2017-06-27 19:50:09,3.343s,PASSED
click,Chrome 59.0.3071.115,,2017-06-27 19:50:09,2017-06-27 19:50:09,0.165s,PASSED
click,Chrome 59.0.3071.115,,2017-06-27 19:50:09,2017-06-27 19:50:10,0.714s,PASSED
click,Chrome 59.0.3071.115,,2017-06-27 19:50:10,2017-06-27 19:50:11,0.671s,PASSED
click,Chrome 59.0.3071.115,,2017-06-27 19:50:11,2017-06-27 19:50:11,0.401s,FAILED
