Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_CHINA_PC,Chrome 59.0.3071.109,,2017-06-26 14:11:08,2017-06-26 14:11:48,39.323s,FAILED
,,,,,,
Test Cases/SCENARIO_TEST/CHINA/PC/TC_pc_01_02,Chrome 59.0.3071.109,,2017-06-26 14:11:09,2017-06-26 14:11:48,38.933s,FAILED
openBrowser,Chrome 59.0.3071.109,,2017-06-26 14:11:09,2017-06-26 14:11:13,3.495s,PASSED
maximizeWindow,Chrome 59.0.3071.109,,2017-06-26 14:11:13,2017-06-26 14:11:14,1.206s,PASSED
navigateToUrl,Chrome 59.0.3071.109,,2017-06-26 14:11:14,2017-06-26 14:11:16,2.060s,PASSED
click,Chrome 59.0.3071.109,,2017-06-26 14:11:16,2017-06-26 14:11:48,31.583s,FAILED
