Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_China_Mobile,Chrome 59.0.3071.115,,2017-06-28 11:26:05,2017-06-28 11:26:54,48.650s,FAILED
,,,,,,
Test Cases/SCENARIO_TEST/CHINA/Mobile/TC_mobile_01,Chrome 59.0.3071.115,,2017-06-28 11:26:06,2017-06-28 11:26:54,48.249s,FAILED
openBrowser,Chrome 59.0.3071.115,,2017-06-28 11:26:06,2017-06-28 11:26:10,3.428s,PASSED
setViewPortSize,Chrome 59.0.3071.115,iPhone 6 diplay size,2017-06-28 11:26:10,2017-06-28 11:26:11,1.209s,PASSED
navigateToUrl,Chrome 59.0.3071.115,navigate to www.samsung.com/cn,2017-06-28 11:26:11,2017-06-28 11:26:16,4.797s,PASSED
click,Chrome 59.0.3071.115,hit the menu button,2017-06-28 11:26:16,2017-06-28 11:26:16,0.369s,PASSED
click,Chrome 59.0.3071.115,,2017-06-28 11:26:16,2017-06-28 11:26:16,0.206s,PASSED
click,Chrome 59.0.3071.115,,2017-06-28 11:26:16,2017-06-28 11:26:21,4.923s,PASSED
click,Chrome 59.0.3071.115,,2017-06-28 11:26:21,2017-06-28 11:26:21,0.143s,PASSED
click,Chrome 59.0.3071.115,,2017-06-28 11:26:21,2017-06-28 11:26:22,0.700s,PASSED
click,Chrome 59.0.3071.115,"do not hit the square box, becasue it changes into black when you mouseover\r\n",2017-06-28 11:26:22,2017-06-28 11:26:23,0.687s,PASSED
click,Chrome 59.0.3071.115,\uD558\uB098\uC758 \uBC84\uD2BC\uC5D0\uC11C \uC5EC\uB7EC\uAC1C\uAC00 \uC7A1\uD798. \uADF8 \uC911\uC5D0\uC11C \uC2E4\uC81C \uC791\uB3D9\uD558\uB294 \uBC84\uD2BC\uC744 \uC7A1\uC544\uC62C \uAC83,2017-06-28 11:26:23,2017-06-28 11:26:54,31.049s,FAILED
