Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TSC_UK_PC_2,Chrome 59.0.3071.109,,2017-06-23 17:32:33,2017-06-23 17:32:47,13.832s,FAILED
,,,,,,
Test Cases/SCENARIO_TEST/UNITED_KINGDOM/PC/TC_pc_02,Chrome 59.0.3071.109,,2017-06-23 17:32:33,2017-06-23 17:32:47,13.466s,FAILED
openBrowser,Chrome 59.0.3071.109,,2017-06-23 17:32:34,2017-06-23 17:32:37,3.234s,PASSED
navigateToUrl,Chrome 59.0.3071.109,,2017-06-23 17:32:37,2017-06-23 17:32:46,8.905s,PASSED
click,Chrome 59.0.3071.109,,2017-06-23 17:32:46,2017-06-23 17:32:47,0.819s,FAILED
