Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_China_Mobile,Chrome 59.0.3071.115,,2017-06-28 09:47:11,2017-06-28 09:47:36,25.610s,FAILED
,,,,,,
Test Cases/SCENARIO_TEST/CHINA/Mobile/TC_mobile_01,Chrome 59.0.3071.115,,2017-06-28 09:47:11,2017-06-28 09:47:36,25.190s,FAILED
openBrowser,Chrome 59.0.3071.115,,2017-06-28 09:47:12,2017-06-28 09:47:15,3.489s,PASSED
setViewPortSize,Chrome 59.0.3071.115,iPhone 6 diplay size,2017-06-28 09:47:15,2017-06-28 09:47:16,1.204s,PASSED
navigateToUrl,Chrome 59.0.3071.115,navigate to www.samsung.com/cn,2017-06-28 09:47:16,2017-06-28 09:47:23,6.546s,PASSED
click,Chrome 59.0.3071.115,hit the menu button,2017-06-28 09:47:23,2017-06-28 09:47:23,0.186s,PASSED
click,Chrome 59.0.3071.115,,2017-06-28 09:47:23,2017-06-28 09:47:23,0.153s,PASSED
click,Chrome 59.0.3071.115,,2017-06-28 09:47:23,2017-06-28 09:47:35,12.039s,PASSED
click,Chrome 59.0.3071.115,,2017-06-28 09:47:35,2017-06-28 09:47:35,0.161s,PASSED
click,Chrome 59.0.3071.115,,2017-06-28 09:47:35,2017-06-28 09:47:36,0.865s,FAILED
