Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_CHINA_PC,Chrome 59.0.3071.109,,2017-06-26 11:06:44,2017-06-26 11:07:34,50.161s,FAILED
,,,,,,
Test Cases/SCENARIO_TEST/CHINA/PC/TC_pc_01,Chrome 59.0.3071.109,,2017-06-26 11:06:44,2017-06-26 11:07:34,49.797s,FAILED
openBrowser,Chrome 59.0.3071.109,,2017-06-26 11:06:45,2017-06-26 11:06:48,3.485s,PASSED
maximizeWindow,Chrome 59.0.3071.109,,2017-06-26 11:06:48,2017-06-26 11:06:50,1.197s,PASSED
navigateToUrl,Chrome 59.0.3071.109,,2017-06-26 11:06:50,2017-06-26 11:06:55,5.191s,PASSED
click,Chrome 59.0.3071.109,,2017-06-26 11:06:55,2017-06-26 11:07:34,39.382s,FAILED
