Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_China_Mobile,Chrome 59.0.3071.115,,2017-06-28 11:37:12,2017-06-28 11:37:59,47.049s,FAILED
,,,,,,
Test Cases/SCENARIO_TEST/CHINA/Mobile/TC_mobile_01,Chrome 59.0.3071.115,,2017-06-28 11:37:12,2017-06-28 11:37:59,46.644s,FAILED
openBrowser,Chrome 59.0.3071.115,,2017-06-28 11:37:13,2017-06-28 11:37:16,3.616s,PASSED
setViewPortSize,Chrome 59.0.3071.115,iPhone 6 diplay size,2017-06-28 11:37:16,2017-06-28 11:37:17,1.218s,PASSED
navigateToUrl,Chrome 59.0.3071.115,navigate to www.samsung.com/cn,2017-06-28 11:37:17,2017-06-28 11:37:22,4.992s,PASSED
click,Chrome 59.0.3071.115,hit the menu button,2017-06-28 11:37:22,2017-06-28 11:37:23,0.179s,PASSED
click,Chrome 59.0.3071.115,,2017-06-28 11:37:23,2017-06-28 11:37:23,0.180s,PASSED
click,Chrome 59.0.3071.115,,2017-06-28 11:37:23,2017-06-28 11:37:27,4.609s,PASSED
click,Chrome 59.0.3071.115,,2017-06-28 11:37:27,2017-06-28 11:37:59,31.204s,FAILED
