Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_CHINA_PC,Chrome 59.0.3071.109,,2017-06-26 11:02:16,2017-06-26 11:02:58,42.343s,FAILED
,,,,,,
Test Cases/SCENARIO_TEST/CHINA/PC/TC_pc_01,Chrome 59.0.3071.109,,2017-06-26 11:02:16,2017-06-26 11:02:58,41.954s,FAILED
openBrowser,Chrome 59.0.3071.109,,2017-06-26 11:02:17,2017-06-26 11:02:20,3.411s,PASSED
maximizeWindow,Chrome 59.0.3071.109,,2017-06-26 11:02:20,2017-06-26 11:02:21,1.208s,PASSED
navigateToUrl,Chrome 59.0.3071.109,,2017-06-26 11:02:21,2017-06-26 11:02:26,4.863s,PASSED
click,Chrome 59.0.3071.109,,2017-06-26 11:02:26,2017-06-26 11:02:58,31.907s,FAILED
