Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TSC_UK_PC,Chrome 59.0.3071.109,,2017-06-23 16:44:23,2017-06-23 16:45:33,1m - 10.367s,PASSED
,,,,,,
Test Cases/SCENARIO_TEST/UNITED_KINGDOM/PC/TC_pc_01,Chrome 59.0.3071.109,,2017-06-23 16:44:23,2017-06-23 16:45:33,1m - 10.020s,PASSED
openBrowser,Chrome 59.0.3071.109,,2017-06-23 16:44:23,2017-06-23 16:44:27,3.240s,PASSED
maximizeWindow,Chrome 59.0.3071.109,,2017-06-23 16:44:27,2017-06-23 16:44:28,1.207s,PASSED
navigateToUrl,Chrome 59.0.3071.109,,2017-06-23 16:44:28,2017-06-23 16:44:42,13.997s,PASSED
takeScreenshot,Chrome 59.0.3071.109,,2017-06-23 16:44:42,2017-06-23 16:44:42,0.545s,PASSED
click,Chrome 59.0.3071.109,,2017-06-23 16:44:42,2017-06-23 16:44:43,0.206s,PASSED
takeScreenshot,Chrome 59.0.3071.109,,2017-06-23 16:44:43,2017-06-23 16:44:43,0.562s,PASSED
setText,Chrome 59.0.3071.109,,2017-06-23 16:44:43,2017-06-23 16:44:44,0.320s,PASSED
takeScreenshot,Chrome 59.0.3071.109,,2017-06-23 16:44:44,2017-06-23 16:44:44,0.525s,PASSED
setText,Chrome 59.0.3071.109,,2017-06-23 16:44:44,2017-06-23 16:44:44,0.224s,PASSED
takeScreenshot,Chrome 59.0.3071.109,,2017-06-23 16:44:44,2017-06-23 16:44:45,0.513s,PASSED
click,Chrome 59.0.3071.109,,2017-06-23 16:44:45,2017-06-23 16:44:53,7.895s,PASSED
takeScreenshot,Chrome 59.0.3071.109,,2017-06-23 16:44:53,2017-06-23 16:44:53,0.508s,PASSED
click,Chrome 59.0.3071.109,,2017-06-23 16:44:53,2017-06-23 16:45:01,7.575s,PASSED
takeScreenshot,Chrome 59.0.3071.109,,2017-06-23 16:45:01,2017-06-23 16:45:01,0.455s,PASSED
click,Chrome 59.0.3071.109,,2017-06-23 16:45:01,2017-06-23 16:45:02,0.623s,PASSED
takeScreenshot,Chrome 59.0.3071.109,,2017-06-23 16:45:02,2017-06-23 16:45:02,0.548s,PASSED
click,Chrome 59.0.3071.109,,2017-06-23 16:45:02,2017-06-23 16:45:07,4.979s,PASSED
takeScreenshot,Chrome 59.0.3071.109,,2017-06-23 16:45:07,2017-06-23 16:45:08,0.617s,PASSED
click,Chrome 59.0.3071.109,,2017-06-23 16:45:08,2017-06-23 16:45:18,9.517s,PASSED
takeScreenshot,Chrome 59.0.3071.109,,2017-06-23 16:45:18,2017-06-23 16:45:18,0.410s,PASSED
setText,Chrome 59.0.3071.109,,2017-06-23 16:45:18,2017-06-23 16:45:18,0.191s,PASSED
takeScreenshot,Chrome 59.0.3071.109,,2017-06-23 16:45:18,2017-06-23 16:45:18,0.389s,PASSED
click,Chrome 59.0.3071.109,,2017-06-23 16:45:18,2017-06-23 16:45:19,0.129s,PASSED
takeScreenshot,Chrome 59.0.3071.109,,2017-06-23 16:45:19,2017-06-23 16:45:19,0.376s,PASSED
click,Chrome 59.0.3071.109,,2017-06-23 16:45:19,2017-06-23 16:45:27,7.814s,PASSED
delay,Chrome 59.0.3071.109,Use WebUI keyword,2017-06-23 16:45:27,2017-06-23 16:45:32,5.025s,PASSED
takeScreenshot,Chrome 59.0.3071.109,,2017-06-23 16:45:32,2017-06-23 16:45:32,0.362s,PASSED
closeBrowser,Chrome 59.0.3071.109,,2017-06-23 16:45:32,2017-06-23 16:45:33,0.765s,PASSED
