Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_CHINA_PC,Chrome 59.0.3071.109,,2017-06-26 13:10:34,2017-06-26 13:10:41,7.359s,FAILED
,,,,,,
Test Cases/SCENARIO_TEST/CHINA/PC/TC_pc_01,Chrome 59.0.3071.109,,2017-06-26 13:10:34,2017-06-26 13:10:41,7.012s,FAILED
openBrowser,Chrome 59.0.3071.109,,2017-06-26 13:10:34,2017-06-26 13:10:38,3.482s,PASSED
navigateToUrl,Chrome 59.0.3071.109,,2017-06-26 13:10:38,2017-06-26 13:10:40,2.296s,PASSED
click,Chrome 59.0.3071.109,,2017-06-26 13:10:40,2017-06-26 13:10:41,0.682s,FAILED
