Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TSC_UK_PC,Chrome 59.0.3071.109,,2017-06-23 17:59:19,2017-06-23 18:00:16,57.170s,FAILED
,,,,,,
Test Cases/SCENARIO_TEST/UNITED_KINGDOM/PC/TC_pc_01,Chrome 59.0.3071.109,,2017-06-23 17:59:19,2017-06-23 18:00:16,56.810s,FAILED
openBrowser,Chrome 59.0.3071.109,,2017-06-23 17:59:20,2017-06-23 17:59:23,3.208s,PASSED
navigateToUrl,Chrome 59.0.3071.109,,2017-06-23 17:59:23,2017-06-23 17:59:39,16.370s,PASSED
click,Chrome 59.0.3071.109,,2017-06-23 17:59:39,2017-06-23 17:59:40,0.214s,PASSED
setText,Chrome 59.0.3071.109,,2017-06-23 17:59:40,2017-06-23 17:59:40,0.324s,PASSED
click,Chrome 59.0.3071.109,,2017-06-23 17:59:40,2017-06-23 17:59:40,0.132s,PASSED
setText,Chrome 59.0.3071.109,,2017-06-23 17:59:40,2017-06-23 17:59:40,0.197s,PASSED
click,Chrome 59.0.3071.109,,2017-06-23 17:59:40,2017-06-23 17:59:45,4.812s,PASSED
setText,Chrome 59.0.3071.109,,2017-06-23 17:59:45,2017-06-23 18:00:16,31.013s,FAILED
